name,handedness,height,weight,avg,HR,count
Tom Brown,R,73,170,0,0,1
Denny Lemaster,R,73,182,0.13,4,1
Joe Nolan,L,71,175,0.263,27,1
Denny Doyle,L,69,175,0.25,16,1
Jose Cardenal,R,70,150,0.275,138,1
Mike Ryan,R,74,205,0.193,28,1
Fritz Peterson,B,72,185,0.159,2,1
Dick Bertell,R,72,200,0.25,10,1
Rod Kanehl,R,73,180,0.241,6,1
Ozzie Osborn,R,74,195,0,0,1
John LaRose,L,73,185,0,0,1
Jeff Byrd,R,75,195,0,0,1
Juan Bonilla,R,69,170,0.256,7,1
Frank Tepedino,L,71,185,0.241,6,1
Jerry Kutzler,L,73,175,0,0,1
Rick Wise,R,73,180,0.195,15,1
Darrell Evans,L,74,200,0.248,414,1
Buck Martinez,R,70,190,0.225,58,1
John Wockenfuss,R,72,190,0.262,86,1
Tommy McCraw,L,72,183,0.246,75,1
Jeff Barkley,B,75,185,0,0,1
Eric Wilkins,R,73,190,0,0,1
Britt Burns,L,77,215,0,0,1
Lee Lacy,R,73,175,0.286,91,1
Pete Rose,B,71,192,0.303,160,1
Danny Walton,R,72,195,0.223,28,1
Bobby Cox,R,71,180,0.225,9,1
Brad Wellman,R,72,170,0.231,6,1
Jeff Newman,R,74,215,0.224,63,1
Pedro Gonzalez,R,72,176,0.244,8,1
Nardi Contreras,B,74,193,0,0,1
Tommie Reynolds,R,74,190,0.226,12,1
Gene Clines,R,69,170,0.277,5,1
Jim Hickman,R,75,192,0.252,159,1
Jack Billingham,R,76,195,0.111,0,1
Jerry Buchek,R,71,185,0.22,22,1
Ivan DeJesus,R,71,175,0.254,21,1
Gary Nolan,R,74,197,0.138,1,1
Gil Patterson,R,73,185,0,0,1
Fred Whitfield,L,73,190,0.253,108,1
Larry Dierker,R,76,215,0.136,4,1
Dave Skaggs,R,74,200,0.241,3,1
Dick Ruthven,R,75,190,0.183,1,1
Jerry Garvin,L,75,195,0,0,1
Steve Eddy,R,74,185,0,0,1
Dave Kingman,R,78,210,0.236,442,1
Eric Soderholm,R,71,187,0.264,102,1
Kevin Mmahat,L,77,220,0,0,1
Ed Brinkman,R,72,170,0.224,60,1
Wayne Garrett,L,71,175,0.239,61,1
Tony Muser,L,74,180,0.259,7,1
Jim Siwy,R,76,200,0,0,1
Bud Anderson,R,75,210,0,0,1
Ted Ford,R,70,180,0.219,17,1
Kevin Stanfield,L,72,190,0,0,1
Jim Lyttle,L,72,180,0.248,9,1
John Butcher,R,76,185,0,0,1
Jerry Ujdur,R,73,195,0,0,1
Scot Thompson,L,75,195,0.262,5,1
Gene Locklear,L,70,165,0.274,9,1
Bo Diaz,R,71,185,0.255,87,1
Bump Wills,B,69,172,0.266,36,1
Brian Denman,R,76,205,0,0,1
Pat Putnam,L,72,205,0.255,63,1
Kurt Bevacqua,R,72,180,0.236,27,1
Bob Fallon,L,75,200,0,0,1
Syd O'Brien,R,73,185,0.23,24,1
Chris Chambliss,L,73,195,0.279,185,1
Tom Satriano,L,73,185,0.225,21,1
Jeffrey Leonard,R,74,200,0.266,144,1
Dal Maxvill,R,71,157,0.217,6,1
Steve Curry,R,78,217,0,0,1
Cesar Tovar,R,69,155,0.278,46,1
Mickey Lolich,B,73,170,0.11,0,1
Ray Chadwick,B,74,180,0,0,1
Jack Heidemann,R,72,175,0.211,9,1
Rich Rollins,R,70,185,0.269,77,1
Walt Bond,L,79,228,0.256,41,1
Merv Rettenmund,R,70,190,0.271,66,1
Bryan Clutterbuck,R,76,223,0,0,1
Byron Browne,R,74,190,0.236,30,1
Hector Torres,R,72,175,0.216,18,1
Walt Williams,R,66,165,0.27,33,1
Jerry Koosman,R,74,205,0.119,2,1
Steve Lombardozzi,R,72,175,0.233,20,1
Joe Azcue,R,72,190,0.252,50,1
Elliott Maddox,R,71,180,0.261,18,1
Omar Moreno,L,74,180,0.252,37,1
Julian Javier,R,73,175,0.257,78,1
Tony Ferreira,L,73,160,0,0,1
Elio Chacon,R,69,160,0.232,4,1
Rusty Torres,B,70,175,0.212,35,1
John Stearns,R,72,185,0.26,46,1
Larry Brown,R,70,160,0.233,47,1
Tommy Dean,R,72,165,0.18,4,1
Bryan Oelkers,L,75,192,0,0,1
Kevin Bearse,L,74,195,0,0,1
Marty Martinez,B,72,170,0.243,0,1
Bruce Boisclair,L,74,185,0.263,10,1
Ken Singleton,B,76,210,0.282,246,1
Frank White,R,71,165,0.255,160,1
Jim Fairey,L,70,190,0.235,7,1
Jose Roman,R,72,175,0,0,1
Tom Brookens,R,70,165,0.246,71,1
Gary Thomasson,L,73,180,0.249,61,1
Mike Trujillo,R,73,180,0,0,1
Albert Williams,R,76,190,0,0,1
Oswaldo Peraza,R,76,172,0,0,1
Otto Velez,R,72,170,0.251,78,1
Tony Scott,B,72,164,0.249,17,1
Ray Oyler,R,71,165,0.175,15,1
Barry Cort,R,77,210,0,0,1
Floyd Robinson,L,69,175,0.283,67,1
Steve Jeltz,B,71,180,0.21,5,1
Lou Brock,L,71,170,0.293,149,1
Bill Wilkinson,R,70,160,0,0,1
Joe Lovitto,B,72,185,0.216,4,1
Mike Loynd,R,76,210,0,0,1
Wayne Comer,R,70,175,0.229,16,1
Dave Collins,B,71,175,0.272,32,1
Ed Spiezio,R,71,180,0.238,39,1
Rico Petrocelli,R,72,175,0.251,210,1
Johnny Lewis,L,73,189,0.227,22,1
Dick Simpson,R,76,176,0.207,15,1
Ken Boswell,L,72,170,0.248,31,1
Ken McMullen,R,75,190,0.248,156,1
Randy Scarbery,B,73,185,0,0,1
Steve Swisher,R,74,205,0.216,20,1
Ben Callahan,R,79,230,0,0,1
Dick Howser,R,68,155,0.248,16,1
Manny Castillo,B,69,160,0.242,3,1
Mike Ramsey,B,73,170,0.24,2,1
Willie Crawford,L,73,197,0.268,86,1
Bobby Cuellar,R,71,188,0,0,1
Willie Norwood,R,72,185,0.242,18,1
Mike Jones,L,78,215,0,0,1
Jeff Stone,L,72,175,0.277,11,1
